,mp_id,formula
311,mp-573180,LaCoO3
312,mp-998160,TlCoF3
313,mp-1183681,CoSbO3
314,mp-1186980,ScCoO3
315,mp-20427,PrCoO3
316,mp-22549,SmCoO3
317,mp-985545,CoTeO3
318,mp-1184947,KCoO3
319,mp-1187746,VCoO3
320,mp-510611,LaCoO3
321,mvc-11732,YCoO3
322,mp-1075975,EuCoO3
323,mp-1183772,CoMoO3
324,mp-1076820,MgCoO3
325,mp-1186126,NaCoO3
326,mp-20031,NdCoO3
327,mp-20951,GdCoO3
328,mp-559946,KCoF3
329,mp-1187577,TmCrO3
330,mp-1226313,CrMoO3
331,mp-18770,YCrO3
332,mp-19062,NdCrO3
333,mp-1076360,RbCrO3
334,mp-1147577,GdCrO3
335,mp-1183712,CrGeO3
336,mp-1183719,CrRhO3
337,mp-1185311,LiCrO3
338,mp-18841,LaCrO3
339,mp-555036,KCrF3
340,mp-566131,KCrF3
341,mp-754941,EuCrO3
342,mp-1076732,KCrO3
343,mp-1183695,CrTcO3
344,mp-1183696,CrCuO3
345,mp-1206325,RbCrF3
346,mp-19353,PrCrO3
347,mp-20029,SrCrO3
348,mp-1076642,NaCrO3
349,mp-1183922,CsNdO3
350,mp-1183976,CsTeO3
351,mp-1183997,CsThO3
352,mp-1185545,CsPbO3
353,mp-1185551,CsTbO3
354,mp-1185552,CsTaO3
355,mp-1185564,CsYbO3
356,mp-1187572,YbCrO3
357,mp-19257,SmCrO3
358,mp-22364,CrPbO3
359,mp-561947,CsHgF3
360,mp-5811,CsPbF3
361,mp-613384,CsIO3
362,mp-8398,CsYbF3
363,mp-984051,CsGeO3
364,mp-998235,CsTlF3
365,mp-998298,CsSnF3
366,mp-1076070,LaCuO3
367,mp-1096944,CsNbO3
368,mp-1183913,CsPdO3
369,mp-1183917,CsMoO3
370,mp-1183918,CsLaO3
371,mp-1183919,CsPrO3
372,mp-1183920,CsPaO3
373,mp-1183971,CsRuO3
374,mp-1183977,CsTiO3
375,mp-1184022,CsSmO3
376,mp-1185544,CsTlO3
377,mp-1185550,CsEuO3
378,mp-1185561,CsSbO3
379,mp-1187483,TlCuO3
380,mp-1206323,CsYbH3
381,mp-1207081,CsTmH3
382,mp-1207302,CsPdF3
383,mp-558694,CsFeF3
384,mp-8396,CsEuF3
385,mp-984082,CsGdO3
386,mp-984745,CsSnO3
387,mp-998234,CsTlF3
388,mp-998322,CsInF3
389,mp-1147748,TiCuO3
390,mp-1184073,CuPdO3
391,mp-1186515,PrCuO3
392,mp-1187321,TbCuO3
393,mp-1187469,TiCuO3
394,mp-554973,TlCuF3
395,mp-975443,InCuO3
396,mvc-11697,YCuO3
397,mp-1076317,MgCuO3
398,mp-1076711,SrCuO3
399,mp-1100778,ZnCuO3
400,mp-1183771,DyCuO3
401,mp-1187562,YbCuO3
402,mp-554601,RbCuF3
403,mp-562987,VCuO3
404,mp-973068,ScCuO3
405,mp-1076706,SmCuO3
406,mp-1184044,CuHgO3
407,mp-1184117,CuPbO3
408,mp-1184157,ErCuO3
409,mp-1224030,InCuO3
410,mp-5566,KCuF3
411,mp-1075902,EuCuO3
412,mp-1184481,GdCuO3
413,mp-1184736,HoCuO3
414,mp-1187487,ThCuO3
415,mp-975364,RbCuO3
416,mp-1184153,DySnO3
417,mp-1183821,DyRhO3
418,mp-1183823,DyInO3
419,mp-1184778,HoErO3
420,mp-1184954,KDyO3
421,mp-1185308,LiDyO3
422,mp-1186557,PmErO3
423,mp-1187145,SrDyO3
424,mp-1187147,SrErO3
425,mp-1207184,DySbO3
426,mp-975386,RbDyO3
427,mp-1183905,EuErO3
428,mp-1184164,ErGaO3
429,mp-1184207,ErZnO3
430,mp-1184219,ErTlO3
431,mp-1184486,GdErO3
432,mp-1185310,LiErO3
433,mp-1187342,TbErO3
434,mp-973830,KErO3
435,mp-975361,RbErO3
436,mp-1075904,EuFeO3
437,mp-1099619,EuMnO3
438,mp-1100775,SrEuO3
439,mp-1184304,EuInO3
440,mp-1184309,EuLuO3
441,mp-1184348,EuPbO3
442,mp-1184353,EuTmO3
443,mp-1184369,EuPdO3
444,mp-1184447,EuTcO3
445,mp-1186571,PmEuO3
446,mp-1187715,YbEuO3
447,mp-541365,LiEuH3
448,mp-644246,EuH3Pd
449,mp-755572,EuNbO3
450,mp-771055,EuZrO3
451,mp-862606,EuSnO3
452,mp-865181,EuGeO3
453,mp-866030,EuSiO3
454,mp-866036,EuRuO3
455,mp-972931,EuMgO3
456,mp-976284,EuSbO3
457,mp-977412,EuNiO3
458,mp-1099572,MnInF3
459,mp-1184359,EuHgO3
460,mp-1184411,EuMoO3
461,mp-1185344,LiEuO3
462,mp-555123,KMnF3
463,mp-7482,RbHgF3
464,mp-753781,EuHfO3
465,mp-756315,EuVO3
466,mp-9060,RbPdF3
467,mp-1120777,NaTiF3
468,mp-556424,RbVF3
469,mp-5878,KZnF3
470,mp-998193,RbSnF3
471,mp-998761,TlNiF3
472,mp-998710,TlHgF3
473,mp-998712,TlGeF3
474,mp-554465,RbFeF3
475,mp-556891,KFeF3
476,mp-6952,RbYbF3
477,mp-998762,MnTlF3
478,mp-20572,NaVF3
479,mp-21043,RbPbF3
480,mp-557257,KVF3
481,mp-558749,RbMnF3
482,mp-560976,KNiF3
483,mp-675295,InPF3
484,mp-7483,KHgF3
485,mp-998159,TlFeF3
486,mp-998607,RbTlF3
487,mp-998739,MgTlF3
488,mp-998745,TlZnF3
489,mp-998786,TlPdF3
490,mp-998241,MnInF3
491,mp-1184349,FeRhO3
492,mp-552676,LaFeO3
493,mp-9061,KPdF3
494,mp-973579,FePbO3
495,mp-1099588,SmFeO3
496,mp-1184033,GaFeO3
497,mp-973648,FeRhO3
498,mp-1185320,LiFeO3
499,mp-975322,RbFeO3
500,mp-510624,SrFeO3
501,mp-1076368,MgFeO3
502,mp-1184032,GaFeO3
503,mp-1186134,NaFeO3
504,mp-1186220,NbFeO3
505,mp-1207083,FeSnO3
506,mvc-11229,YFeO3
507,mp-1184206,GaSiO3
508,mp-1184243,GaSnO3
509,mp-9831,LaGaO3
510,mp-1097026,LaGaO3
511,mp-1183980,GaGeO3
512,mp-1183983,GaNiO3
513,mp-1184220,GaTeO3
514,mp-1185488,LuGaO3
515,mp-1187561,YbGaO3
516,mp-971733,ZnGaO3
517,mp-978504,SmGaO3
518,mp-9833,PrGaO3
519,mp-1184484,GdSiO3
520,mp-1184491,GdThO3
521,mp-1184503,GdRhO3
522,mp-1184599,GdZrO3
523,mp-1184987,KGdO3
524,mp-1185401,LiGdO3
525,mp-1187481,TlGaO3
526,mp-975308,RbGdO3
527,mp-9834,NdGaO3
528,mp-1017447,HgGeO3
529,mp-1187065,SnGeO3
530,mp-975347,NdGeO3
531,mp-978926,SmGeO3
532,mp-1016930,ZnGeO3
533,mp-1016999,SrGeO3
534,mp-1017566,GePbO3
535,mp-1184557,GePdO3
536,mp-1185514,LuGeO3
537,mp-1187533,TlGeO3
538,mp-865758,YbGeO3
539,mp-982558,HoGeO3
540,mp-1016827,MgGeO3
541,mp-1184641,GeTeO3
542,mp-1185303,LiGeO3
543,mp-1186133,NaGeO3
544,mp-1186885,RbGeO3
545,mp-1187655,TmGeO3
546,mp-981132,TbGeO3
547,mp-1017629,MgNiH3
548,mp-1018646,YbH3Pd
549,mp-1207079,SrH3Pd
550,mp-1016819,HfZnO3
551,mp-1016825,HfMgO3
552,mp-1018647,YbNiH3
553,mp-1186747,PrHfO3
554,mp-13108,SrHfO3
555,mp-998227,KHfO3
556,mp-1016837,SnHgO3
557,mp-1016842,TiHgO3
558,mp-1016874,SiHgO3
559,mp-1016938,VHgO3
560,mp-1184597,HfThO3
561,mp-1185882,MgHgO3
562,mp-1186886,RbHgO3
563,mp-1187530,TlHgO3
564,mp-4551,SrHfO3
565,mp-1016871,ZrHgO3
566,mp-1080187,MnHgO3
567,mp-1184813,HoSiO3
568,mp-1184944,KHoO3
569,mp-1207180,HoSbO3
570,mp-971975,SrHgO3
571,mp-971996,SrHoO3
572,mp-973818,LiHoO3
573,mp-975296,RbHoO3
574,mp-1184833,HoRhO3
575,mp-22981,TlIO3
576,mp-27193,RbIO3
577,mp-545825,NaIO3
578,mp-546200,TlIO3
579,mp-552729,KIO3
580,mp-558843,KIO3
581,mp-973977,HoSnO3
582,mp-1184751,InSiO3
583,mp-1184765,InSbO3
584,mp-1186316,NdInO3
585,mp-1186597,PmInO3
586,mp-1223446,KIO3
587,mp-974734,KInO3
588,mp-1185889,MgInO3
589,mp-1186138,NaInO3
590,mp-1187569,YbInO3
591,mp-972021,SrInO3
592,mp-975299,RbInO3
593,mp-1040469,KMoO3
594,mp-1076633,KVO3
595,mp-1184945,KYO3
596,mp-1184946,KZnO3
597,mp-1184948,KMnO3
598,mp-1184950,KZrO3
599,mp-1206970,KPaO3
600,mp-3614,KTaO3
601,mp-7375,KNbO3
602,mp-760376,KTiO3
603,mp-935811,KNbO3
604,mp-972985,KPdO3
605,mp-973267,KTcO3
606,mp-973958,KRuO3
607,mp-975134,KRhO3
608,mp-984454,KTlO3
609,mp-1075921,LaNiO3
610,mp-1096800,LaScO3
611,mp-1184935,KPbO3
612,mp-1184940,KTeO3
613,mp-1184941,KLuO3
614,mp-1184949,KTmO3
615,mp-1184953,KYbO3
616,mp-1185357,LiLaO3
617,mp-19025,LaMnO3
618,mp-4342,KNbO3
619,mp-5246,KNbO3
620,mp-981313,KTbO3
621,mp-989515,LaMoN3
622,mp-1184964,LaMgO3
623,mp-1184965,LaZnO3
624,mp-1185065,LaZrO3
625,mp-1185122,LaSnO3
626,mp-19053,LaVO3
627,mp-8020,LaTiO3
628,mp-1185263,LiPaO3
629,mp-1185420,LiRuO3
630,mp-976331,LiLuO3
631,mp-1185417,LiYbO3
632,mp-973136,LiSmO3
633,mp-1185236,LiTmO3
634,mp-1185261,LiNiO3
635,mp-1185388,LiPmO3
636,mp-1185404,LiPrO3
637,mp-862870,LiTcO3
638,mp-976283,LiYO3
639,mp-1185387,LiNdO3
640,mp-973486,LuVO3
641,mp-973681,LuRhO3
642,mp-1016820,MgSnO3
643,mp-1017000,MgZrO3
644,mp-1185490,LuPdO3
645,mp-1186600,PmMgO3
646,mp-973655,LuSiO3
647,mp-1016829,MgRuO3
648,mp-1016830,MgTiO3
649,mp-1016886,MgVO3
650,mp-1016929,MgRhO3
651,mp-1185612,MgZnO3
652,mp-1185613,MgTlO3
653,mp-1187347,TbMgO3
654,mp-972160,YbMgO3
655,mp-975521,NdMgO3
656,mp-976446,MgMnO3
657,mp-976722,MgPbO3
658,mp-1075973,SmMnO3
659,mp-1185896,MgMoO3
660,mp-975346,RbMnO3
661,mp-1016932,MnZnO3
662,mp-37214,MnPbO3
663,mvc-10883,YMnO3
664,mvc-15452,YMoO3
665,mp-1040471,NaMoO3
666,mp-1186106,MoPbO3
667,mp-1186997,SiMoO3
668,mp-1187460,ThMoO3
669,mp-18747,SrMoO3
670,mp-975292,RbMoO3
671,mp-977100,NiMoO3
672,mp-989557,YTcN3
673,mp-989613,TiPN3
674,mp-1099591,NaVO3
675,mp-1186154,NaNiO3
676,mp-1186199,NaYbO3
677,mp-4170,NaTaO3
678,mp-976968,NaPdO3
679,mp-977107,NaRuO3
680,mp-977117,NaTeO3
681,mp-977123,NaTiO3
682,mp-977176,NaTcO3
683,mp-1186153,NaPbO3
684,mp-1186198,NaZnO3
685,mp-3136,NaNbO3
686,mp-865120,NaPaO3
687,mp-1075911,RbNbO3
688,mp-1187578,YbNbO3
689,mp-1206341,NdSbO3
690,mp-19253,NdVO3
691,mp-7006,SrNbO3
692,mp-975913,PrNbO3
693,mp-977408,NbTlO3
694,mp-1101333,SrNdO3
695,mp-1186345,NiPdO3
696,mp-1187352,TbNiO3
697,mvc-15448,YNiO3
698,mp-1097917,TlNiO3
699,mp-1099583,SmTiO3
700,mp-1099668,SmNiO3
701,mp-1186113,NiSbO3
702,mp-1187595,YbNiO3
703,mp-1188025,ZrNiO3
704,mp-974108,NiPbO3
705,mp-975373,RbNiO3
706,mp-976848,NiRuO3
707,mp-998781,TlNiO3
708,mp-1070440,VPbO3
709,mp-1183043,ZrSiO3
710,mp-1186893,RbSnO3
711,mp-1186948,SbPbO3
712,mp-1187364,TbSiO3
713,mp-1187493,YbScO3
714,mp-1187557,TmScO3
715,mp-1187797,YbZnO3
716,mp-1187862,YSiO3
717,mp-1206844,RbPaO3
718,mp-20459,TiPbO3
719,mp-755018,RbTaO3
720,mp-865218,YbTiO3
721,mp-975159,RbZnO3
722,mp-975173,RbYO3
723,mp-975190,RbTeO3
724,mp-978489,SiPbO3
725,mp-978506,SmSiO3
726,mp-978952,SnPbO3
727,mp-980058,RbTbO3
728,mp-1183044,ZrTlO3
729,mp-1187425,ThSiO3
730,mp-1187488,TiTeO3
731,mp-1187529,TlSiO3
732,mp-12631,SrTcO3
733,mp-18717,SrVO3
734,mp-19845,TiPbO3
735,mp-20702,SmVO3
736,mp-754696,PrTiO3
737,mp-981376,ScSnO3
738,mp-981550,RbTmO3
739,mp-983513,PmRuO3
740,mvc-11152,YSbO3
741,mvc-11730,YVO3
742,mp-1016876,ZnSiO3
743,mp-1016880,ZnRhO3
744,mp-1016883,ZrZnO3
745,mp-1016931,VZnO3
746,mp-1017441,SrRhO3
747,mp-1076638,RbVO3
748,mp-1186755,SrTaO3
749,mp-1186756,SrYbO3
750,mp-1186757,SrZnO3
751,mp-1186758,SrTmO3
752,mp-1186927,SbPdO3
753,mp-1187190,SrPdO3
754,mp-1187389,TbVO3
755,mp-1187400,TcSnO3
756,mp-1187515,YbSnO3
757,mp-1207179,SmSbO3
758,mp-22534,SrRuO3
759,mp-3323,SrZrO3
760,mp-4346,SrRuO3
761,mp-5229,SrTiO3
762,mp-973269,SbTeO3
763,mp-975207,RbSmO3
764,mp-975255,RbPdO3
765,mp-978490,SiPdO3
766,mp-979272,TePdO3
767,mvc-15474,YSnO3
768,mp-1068577,ZrPbO3
769,mp-1068742,SrZrO3
770,mp-1183045,ZrTiO3
771,mp-1186471,PrPbO3
772,mp-1186897,RbRhO3
773,mp-1187192,SrSbO3
774,mp-1187442,ThPdO3
775,mp-1187516,YbSiO3
776,mp-1187516,YbSiO3
777,mp-1187516,YbSiO3
778,mp-1187516,YbSiO3
779,mp-1187518,YbTcO3
780,mp-1187570,YbPdO3
781,mp-1187623,TlTcO3
782,mp-20337,ZrPbO3
783,mp-972058,YbTmO3
784,mp-972978,ScVO3
785,mp-974337,RuPbO3
786,mp-975206,RbSbO3
787,mp-978493,SiSnO3
788,mp-980537,RbYbO3
789,mp-1016902,ZnSnO3
790,mp-1016927,TiZnO3
791,mp-1018639,TiSnO3
792,mp-1069346,PrVO3
793,mp-1076534,RbTaO3
794,mp-1100777,VTeO3
795,mp-1186401,PaSiO3
796,mp-1187377,TbTeO3
797,mp-546973,SrSnO3
798,mp-613402,SrZrO3
799,mp-754046,PrTlO3
800,mp-973123,ScPdO3
801,mp-975179,RbTlO3
802,mp-975208,RbRuO3
803,mp-981367,SrTlO3
804,mvc-11198,YTiO3
