mp_id,formula,XYZ
mvc-13533,AlFeO3,ABC3
mvc-13964,TiAlO3,ABC3
mvc-14043,AlNiO3,ABC3
mvc-15476,AlBiO3,ABC3
mvc-15901,MnAlO3,ABC3
mvc-16001,AlWO3,ABC3
mvc-3494,AlBiO3,ABC3
mp-1017558,Er3AlN,ABC3
mp-1017577,Ho3AlN,ABC3
mp-1017627,Lu3AlN,ABC3
mp-1069443,CeAl3Cu,ABC3
mp-1183283,BaAlO3,ABC3
mp-1188667,YbAlO3,ABC3
mp-1222880,LaBeAl3,ABC3
mp-1228805,AlOF3,ABC3
mp-1248327,TiAlO3,ABC3
mp-14254,NdAlO3,ABC3
mp-19843,CeAlO3,ABC3
mp-21455,EuAlO3,ABC3
mp-3271,Ti3AlC,ABC3
mp-4471,ScAlO3,ABC3
mp-4891,HoAlO3,ABC3
mp-570822,Tb3AlC,ABC3
mp-5899,NdAlO3,ABC3
mp-7144,Sm3AlC,ABC3
mp-7405,SmAlO3,ABC3
mp-755574,LuAlO3,ABC3
mp-765647,AlVO3,ABC3
mp-772187,AlGaO3,ABC3
mp-8218,PrAlO3,ABC3
mp-972367,UAlO3,ABC3
mp-978862,SrAlO3,ABC3
mvc-11052,AlSnO3,ABC3
mvc-11693,TiAlO3,ABC3
mvc-15239,AlCuO3,ABC3
mvc-15604,AlCrO3,ABC3
mvc-15605,AlWO3,ABC3
mvc-15905,AlMoO3,ABC3
mvc-3776,AlNiO3,ABC3
mp-10038,Er3AlC,ABC3
mp-1068011,SrAlH3,ABC3
mp-1069825,PrAl3Cu,ABC3
mp-1076933,GdAl3Cu,ABC3
mp-1101265,TmAlO3,ABC3
mp-1178268,GdAlO3,ABC3
mp-1183133,AlIrO3,ABC3
mp-1183134,AlSbO3,ABC3
mp-1184936,KAlO3,ABC3
mp-1186110,NpAlO3,ABC3
mp-1206123,AlFe3H,ABC3
mp-1206367,Ce3AlO,ABC3
mp-1217033,TiAl3Ge,ABC3
mp-21216,AlFeO3,ABC3
mp-4096,CeAlO3,ABC3
mp-504482,AlInS3,ABC3
mp-5168,AlSiP3,ABC3
mp-551918,AlBiO3,ABC3
mp-571330,Nd3AlC,ABC3
mp-756281,TmAlO3,ABC3
mp-756630,DyAlO3,ABC3
mp-756705,YAlO3,ABC3
mp-758371,YbAlO3,ABC3
mp-768518,LaAlO3,ABC3
mp-774250,MnAlO3,ABC3
mp-780421,LaAlO3,ABC3
mvc-13996,AlCrO3,ABC3
mvc-15781,AlCuO3,ABC3
mvc-15937,AlSnO3,ABC3
mvc-3466,TiAlO3,ABC3
mvc-3774,AlCoO3,ABC3
mvc-3810,AlSbO3,ABC3
mp-1018638,Tb3AlN,ABC3
mp-1069375,NdAl3Cu,ABC3
mp-10881,Ce3AlN,ABC3
mp-1178577,AlFeO3,ABC3
mp-1183128,AlVO3,ABC3
mp-1185313,LiAlO3,ABC3
mp-1185841,MgAlO3,ABC3
mp-1206715,AlFe3B,ABC3
mp-1215459,YbAl3Au,ABC3
mp-1219105,SmAl3Cu,ABC3
mp-1226619,CeBeAl3,ABC3
mp-1237224,ZrAlCr3,ABC3
mp-1248370,AlMoO3,ABC3
mp-1259818,AlFeO3,ABC3
mp-1260288,MnAlO3,ABC3
mp-1261047,AlSbO3,ABC3
mp-20684,Pr3AlN,ABC3
mp-3466,PrAlO3,ABC3
mp-3792,YAlO3,ABC3
mp-5223,GdAlO3,ABC3
mp-580539,Gd3AlC,ABC3
mp-754936,DyAlO3,ABC3
mp-756686,AlGaO3,ABC3
mp-756947,AlCoO3,ABC3
mp-768417,LaAlO3,ABC3
mp-771703,LaAlO3,ABC3
mp-776116,AlPdO3,ABC3
mp-776172,AlCuO3,ABC3
mp-780422,LaAlO3,ABC3
mp-984723,DyAlO3,ABC3
mvc-13997,AlVO3,ABC3
mvc-14409,AlCrO3,ABC3
mvc-15603,MnAlO3,ABC3
mvc-15945,AlCuO3,ABC3
mvc-4004,AlWO3,ABC3
mp-1013738,Ca3SbAs,ABC3
mp-1018641,Tm3AlN,ABC3
mp-1070063,CeAl3Au,ABC3
mp-1079324,Cr3AsC,ABC3
mp-1080060,LaAlO3,ABC3
mp-1094052,Sm3AlN,ABC3
mp-1094072,Pr3AlN,ABC3
mp-1184150,ErAlO3,ABC3
mp-1206360,Yb3AlC,ABC3
