material_id,pretty_formula,formula_anonymous
mp-36751,In5AgS8,AB5C8
mp-3868,Pr6Fe13Ag,AB6C13
mp-4515,Ag3SbS3,AB3C3
mp-4614,Tb(SiAg)2,AB2C2
mp-510280,CeAgSb2,ABC2
mp-510349,Ag13OsO6,AB6C13
mp-510453,Ag3RuO4,AB3C4
mp-542772,CsAgCl2,ABC2
mp-542824,Ce3(AgSn)4,A3B4C4
mp-5495,Ag2PdO2,AB2C2
mp-5537,NbAgO3,ABC3
mp-553907,Rb3AgO2,AB2C3
mp-554357,Ag4TeO5,AB4C5
mp-558189,Ag3SI,ABC3
mp-558469,Ag2PS3,AB2C3
mp-558712,Ag2BiO3,AB2C3
mp-558796,Ag(Bi2S3)3,AB6C9
mp-559736,VAgO3,ABC3
mp-5615,CaAgAs,ABC
mp-561620,Ag3AsS3,AB3C3
mp-562364,Cr2Ag2O7,A2B2C7
mp-567347,Li2AgSn,ABC2
mp-567574,DyAgGe,ABC
mp-568386,Ag10Te4Br3,A3B4C10
mp-568392,Ag10Te4Br3,A3B4C10
mp-569414,Lu6AgTe2,AB2C6
mp-569932,Tl7(Ag18Te11)2,A7B22C36
mp-570855,SmAgPb,ABC
mp-571454,LiAgC2,ABC2
mp-572510,K3AgO2,AB2C3
mp-573891,K2Ag4Se3,A2B3C4
mp-5821,TaAgS3,ABC3
mp-600237,Ag(CO)2,AB2C2
mp-608357,MnAgO4,ABC4
mp-638686,AgNO3,ABC3
mp-673825,Ag3SI,ABC3
mp-674352,TaAg7S6,AB6C7
mp-674981,Ag3SI,ABC3
mp-675033,Ga12Ag2Te19,A2B12C19
mp-675111,CeAgP2,ABC2
mp-675242,Ag2HgI4,AB2C4
mp-675402,CuAgO2,ABC2
mp-675633,Ag4AuS2,AB2C4
mp-676410,LuAgS2,ABC2
mp-676430,Ag9(SI)4,A4B4C9
mp-676561,Ag3SI,ABC3
mp-676581,Ag2CO3,AB2C3
mp-677054,AgSbO3,ABC3
mp-685969,Ag8GeTe6,AB6C8
mp-686119,Ag13(BiI4)14,A13B14C56
mp-686712,InAgSe2,ABC2
mp-704268,Mn3(AgO2)4,A3B4C8
mp-752525,LiAgF2,ABC2
mp-752768,LiAgF4,ABC4
mp-752927,LiAgF2,ABC2
mp-752948,LiAg2F4,AB2C4
mp-753009,Li2AgF3,AB2C3
mp-753209,LiAgF4,ABC4
mp-753277,LiAgF2,ABC2
mp-753279,LiAg5F12,AB5C12
mp-753299,LiAgF2,ABC2
mp-753316,Li2AgF5,AB2C5
mp-753383,LiAgF4,ABC4
mp-753385,LiAg2F4,AB2C4
mp-754959,CrAgO4,ABC4
mp-755449,Cd(AgO2)2,AB2C4
mp-755834,AgSnO3,ABC3
mp-757915,LiAgF3,ABC3
mp-760151,LiAgF3,ABC3
mp-760582,Li2AgF3,AB2C3
mp-762244,Li2AgF4,AB2C4
mp-765413,Li2AgF6,AB2C6
mp-765566,LiAg2F6,AB2C6
mp-766328,Ag7Sb9O25,A7B9C25
mp-769295,AgH8O5,AB5C8
mp-769296,AgH9O5,AB5C9
mp-769355,AgH3O2,AB2C3
mp-771241,Ta3AgO8,AB3C8
mp-772290,LiAgO,ABC
mp-775761,AgClO3,ABC3
mp-777775,Ag(H7O4)2,AB8C14
mp-849476,Li17Ag12F29,A12B17C29
mp-861481,Pr2AgRu,ABC2
mp-861497,Pr2AgIr,ABC2
mp-861502,AcFeO3,ABC3
mp-861724,Ac2AgIr,ABC2
mp-861734,AcZnAu2,ABC2
mp-861735,AcMgTl2,ABC2
mp-861872,Ac2HgGe,ABC2
mp-861876,LiAc2Si,ABC2
mp-861880,AcCdRh2,ABC2
mp-861883,Ac2CuIr,ABC2
mp-861884,AcGaTe2,ABC2
mp-861934,HoAlAg2,ABC2
mp-861966,AcHgAu2,ABC2
mp-862319,Ac2CdSn,ABC2
mp-862337,Sc2InAg,ABC2
mp-862366,Sc2TlAg,ABC2
mp-862549,LiAcTl2,ABC2
mp-862613,LiAc2Ga,ABC2
mp-862667,LiAc2Ge,ABC2
mp-862683,Ac2GaCu,ABC2
mp-862685,LiAc2Ir,ABC2
mp-862686,LiAc2Ru,ABC2
mp-862698,Ac2SiAu,ABC2
mp-862749,SmAlAg2,ABC2
mp-862786,Ac2CuGe,ABC2
mp-862797,RbAcTe2,ABC2
mp-862849,Ac2NiIr,ABC2
mp-862860,AcInAu2,ABC2
mp-862872,PmAgAu2,ABC2
mp-862873,AcAgHg2,ABC2
mp-862890,AcAg2Sn,ABC2
mp-862894,AcSbAu2,ABC2
mp-862923,PmInAg2,ABC2
mp-862936,PmMgAg2,ABC2
mp-862972,AcAgAu2,ABC2
mp-863710,KAcTe2,ABC2
mp-864606,AcCuO3,ABC3
mp-864644,AcCdHg2,ABC2
mp-864646,ErAgHg2,ABC2
mp-864755,LiAcTe2,ABC2
mp-864795,Ac2SnHg,ABC2
mp-864803,NaAcAu2,ABC2
mp-864806,NaAcHg2,ABC2
mp-864911,AcMnO3,ABC3
mp-864962,CaAcZn2,ABC2
mp-864991,Ca2AgPb,ABC2
mp-865028,AcTlTe2,ABC2
mp-865037,CeMgAg2,ABC2
mp-865081,NaAcTe2,ABC2
mp-865090,NaAcTl2,ABC2
mp-865173,CaAcHg2,ABC2
mp-865279,Tm2AgOs,ABC2
mp-865281,Tm2AgPt,ABC2
mp-865297,Ho2InAg,ABC2
mp-865300,Tm2AgIr,ABC2
mp-865398,Ac2ZnIr,ABC2
mp-865459,Lu2AgRu,ABC2
mp-865470,Ac2CuSn,ABC2
mp-865502,YAgHg2,ABC2
mp-865503,YCdAg2,ABC2
mp-865505,Lu2InAg,ABC2
mp-865535,Ac2ZnGa,ABC2
mp-865552,CeCdAg2,ABC2
mp-865630,Yb2AgGe,ABC2
mp-865729,CaAg2Sn,ABC2
mp-865855,Ac2SiPd,ABC2
mp-865897,Li2AcIn,ABC2
mp-865913,Li2AcSn,ABC2
mp-865915,Li2AcPb,ABC2
mp-865927,AcTiO3,ABC3
