mp_id,formula,anonymous_formulas,C3
mp-975425,RbAsO3,ABC3,O3
mp-1078398,CeAsO3,ABC3,O3
mp-1184215,FeAsO3,ABC3,O3
mp-776320,CuAsO3,ABC3,O3
mp-973156,ScAsO3,ABC3,O3
mp-978851,SrAsO3,ABC3,O3
mp-1183686,CoAuO3,ABC3,O3
mp-1186920,SbAuO3,ABC3,O3
mp-1187924,YbAuO3,ABC3,O3
mp-28853,LaAuO3,ABC3,O3
mp-971700,ZnAuO3,ABC3,O3
mp-975405,RbAuO3,ABC3,O3
mp-982245,PbAuO3,ABC3,O3
mp-1183212,BAuO3,ABC3,O3
mp-1183414,BeAuO3,ABC3,O3
mp-1184383,EuAuO3,ABC3,O3
mp-1184942,KAuO3,ABC3,O3
mp-1185548,CsAuO3,ABC3,O3
mp-1187146,SrAuO3,ABC3,O3
mp-1078259,GaBO3,ABC3,O3
mp-1183287,BaAuO3,ABC3,O3
mp-1183397,CoBO3,ABC3,O3
mp-1183631,CdBO3,ABC3,O3
mp-1184546,HoBO3,ABC3,O3
mp-1187494,TlBO3,ABC3,O3
mp-1194043,ErBO3,ABC3,O3
mp-14237,YbBO3,ABC3,O3
mp-18946,VBO3,ABC3,O3
mp-22030,EuBO3,ABC3,O3
mp-753056,HoBO3,ABC3,O3
mp-760457,YBO3,ABC3,O3
mp-850193,HoBO3,ABC3,O3
mp-8697,ScBO3,ABC3,O3
mp-972442,SnBO3,ABC3,O3
mp-984628,CaBO3,ABC3,O3
mp-10791,ErBO3,ABC3,O3
mp-1184042,CuBO3,ABC3,O3
mp-1187784,UBO3,ABC3,O3
mp-1188026,ZrBO3,ABC3,O3
mp-1189809,CaBO3,ABC3,O3
mp-1214407,BaBO3,ABC3,O3
mp-19097,FeBO3,ABC3,O3
mp-19299,CrBO3,ABC3,O3
mp-20882,CeBO3,ABC3,O3
mp-561949,GdBO3,ABC3,O3
mp-7027,InBO3,ABC3,O3
mp-7238,NdBO3,ABC3,O3
mp-752713,HoBO3,ABC3,O3
mp-7560,LuBO3,ABC3,O3
mp-760405,ErBO3,ABC3,O3
mp-760461,LuBO3,ABC3,O3
mp-760477,SmBO3,ABC3,O3
mp-772724,SnBO3,ABC3,O3
