mp_id,formula,Piezoelectric_Modulus
mp-23376,GaSeBr7,0.772074932
mp-23535,K2ZnBr4,0.019185925
mp-23828,Sr7(H6Br)2,0.18089636
mp-27853,Hg3(TeBr)2,0.52517
mp-28407,SBr2O,0.833881093
mp-28558,RbGeBr3,0.457078655
mp-28569,NaInBr4,0.06348
mp-28872,RbBrO3,0.634691038
mp-28989,Li10BrN3,0.072397126
mp-29033,P3BrCl14,0.430580109
mp-29057,Nb3SBr7,0.162552986
mp-29314,RbVBr3,0.496928771
mp-29798,TlBrO3,0.823079564
mp-36248,H4BrN,0.13006
mp-510346,In5Se5Br,0.996651343
mp-550070,NbBr2O,3.700729479
mp-554769,MoSBr,0.203276667
mp-556049,Sr4Br6O,0.186747203
mp-606393,NbBr3O,0.00901
mp-607953,FeSeBr7,0.245327867
mp-625521,H3BrO,0.346768157
mp-625560,H7BrO3,0.592144334
mp-642739,CsGeBr3,0.536941851
mp-676650,Li6Br3N,0.902893287
mp-774146,W(BrO)2,7.443094544
mp-998555,InSnBr3,1.957781954
mp-22966,C(ClF)2,0.069925574
mp-23683,H2CO,0.200894602
mp-27336,CsCuBr3,0.225937258
mp-28873,CsBrO3,0.335121114
mp-30068,CIN,1.271246712
mp-36262,BrO2F,0.383990105
mp-540998,FeTeBr7,0.102636381
mp-546202,Li4CO4,6.53956
mp-550320,Li4CO4,0.777612668
mp-551740,Li4CO4,0.26415
mp-552941,Na4CO4,50.45334798
mp-555256,Li4CO4,1.720745576
mp-559724,Ta4S9Br8,0.305429651
mp-570172,HgIBr,0.168440792
mp-580554,CsLi3Br4,0.425439161
mp-625509,H3BrO,0.381670182
mp-625604,H9BrO4,0.370289063
mp-28240,CSO,0.193322206
mp-28473,CClF3,0.36585
mp-29826,ZnCN2,0.22512
mp-30161,Si2CN4,0.422240646
mp-31306,C2O3F2,0.02384
mp-35308,CuCN,0.557129592
mp-4249,Hg(CO2)2,0.0
mp-545541,Na4CO4,2.600965842
mp-558412,H2CO2,0.083497744
mp-35751,Zn(CN)2,0.058534942
mp-36940,Mg(CN)2,0.017229475
mp-505702,Pb2CO4,0.1772
mp-550314,Rb4CO4,1.260662745
mp-550593,Li4CO4,33.34801286
mp-550798,Li4CO4,0.101682256
mp-552623,Na4CO4,1.757262926
mp-561412,CaCO3,0.245091452
mp-568116,Lu2(CN2)3,0.137166888
mp-690525,MnCO3,39.82858948
mp-1029718,CsC2N3,0.008615135
mp-1078908,Ca2CdP2,0.742481687
mp-1180553,Li4CO4,0.551637446
mp-17008,CaTeO3,0.228338251
mp-29761,UCO5,0.517998259
mp-35035,KCN,0.087232489
mp-37657,Ca3SiO5,1.027161248
mp-548403,CaCO3,1.875117661
mp-549207,Li4CO4,3.57381135
mp-555320,Li4CO4,1.263988363
mp-559232,H2C3O4,0.012165
mp-644385,HCN,0.757484832
mp-866810,Ca2SnS4,0.802093753
mvc-7761,Ca2Sn3O8,0.886406121
mp-1029633,CaSnN2,1.697938055
mp-1213976,CaGaH5,0.138191706
mp-1214080,Ca3SbI3,0.0
mp-1301869,CaCr2O4,0.747934309
mp-23326,Ca4Cl6O,0.113924022
mp-28922,Ca2Si5N8,0.357452879
mp-3082,CaSO4,0.02135
mp-34185,Ca(PrS2)2,0.3504
mp-556372,CaSO4,0.02239
mp-626644,Ca(HO)2,1.321289979
mp-754610,Sr3CaI8,0.075068948
mp-771568,SrCa2I6,0.04804
mp-7801,CaGeN2,3.1256
mp-29760,Ca10P6O25,0.238543855
